test_id,title,feature_id,category,dependency_group,condition,runs,passed_runs
T-001-01,🟢 正常系: ユーザー新規登録,F-001,normal,other,anti,10,7
T-001-01,🟢 正常系: ユーザー新規登録,F-001,normal,other,normal,10,9
T-001-02,🔴 異常系: メールアドレス重複エラー,F-001,negative,other,anti,10,8
T-001-02,🔴 異常系: メールアドレス重複エラー,F-001,negative,other,normal,10,9
T-001-03,🔴 異常系: パスワード強度不足エラー,F-001,negative,other,anti,10,8
T-001-03,🔴 異常系: パスワード強度不足エラー,F-001,negative,other,normal,10,9
T-001-04,🔴 異常系: パスワード不一致エラー,F-001,negative,other,anti,10,8
T-001-04,🔴 異常系: パスワード不一致エラー,F-001,negative,other,normal,10,9
T-002-01,🟢 正常系: ログイン成功,F-002,normal,other,anti,10,6
T-002-01,🟢 正常系: ログイン成功,F-002,normal,other,normal,10,6
T-002-02,🟢 正常系: ログアウト成功,F-002,normal,other,anti,10,2
T-002-02,🟢 正常系: ログアウト成功,F-002,normal,other,normal,10,2
T-002-03,🔴 異常系: 認証失敗,F-002,negative,other,anti,10,9
T-002-03,🔴 異常系: 認証失敗,F-002,negative,other,normal,10,10
T-002-04,🔴 異常系: アカウントロック,F-002,negative,other,anti,10,10
T-002-04,🔴 異常系: アカウントロック,F-002,negative,other,normal,10,10
T-003-01,🟢 正常系: 申請種別選択と入力フォーム表示,F-003,normal,other,anti,10,7
T-003-01,🟢 正常系: 申請種別選択と入力フォーム表示,F-003,normal,other,normal,10,7
T-003-02,🔴 異常系: 申請種別未選択エラー,F-003,negative,other,anti,10,5
T-003-02,🔴 異常系: 申請種別未選択エラー,F-003,negative,other,normal,10,4
T-004-01,🟢 正常系: 申請内容の入力,F-004,normal,other,anti,10,6
T-004-01,🟢 正常系: 申請内容の入力,F-004,normal,other,normal,10,5
T-004-02,🔴 異常系: 申請金額範囲外エラー,F-004,negative,other,anti,10,4
T-004-02,🔴 異常系: 申請金額範囲外エラー,F-004,negative,other,normal,10,8
T-004-03,🔴 異常系: ファイルサイズ超過エラー,F-004,negative,other,anti,10,0
T-004-03,🔴 異常系: ファイルサイズ超過エラー,F-004,negative,other,normal,10,0
T-005-01,🟢 正常系: 下書き保存,F-005,normal,other,anti,10,5
T-005-01,🟢 正常系: 下書き保存,F-005,normal,other,normal,10,10
T-005-02,🟢 正常系: 下書き再編集,F-005,normal,other,anti,10,5
T-005-02,🟢 正常系: 下書き再編集,F-005,normal,other,normal,10,6
T-006-01,🟢 正常系: 申請提出（課長承認ルート）,F-006,normal,direct_threshold,anti,10,0
T-006-01,🟢 正常系: 申請提出（課長承認ルート）,F-006,normal,direct_threshold,normal,10,10
T-006-02,🟢 正常系: 申請提出（部長承認ルート）,F-006,normal,other,anti,10,7
T-006-02,🟢 正常系: 申請提出（部長承認ルート）,F-006,normal,other,normal,10,9
T-006-03,"🟡 境界値テスト: 承認ルート境界値（999,999円 → 課長）",F-006,boundary,direct_threshold,anti,10,0
T-006-03,"🟡 境界値テスト: 承認ルート境界値（999,999円 → 課長）",F-006,boundary,direct_threshold,normal,10,10
T-006-04,"🟡 境界値テスト: 承認ルート境界値（1,000,000円 → 部長）",F-006,boundary,other,anti,10,7
T-006-04,"🟡 境界値テスト: 承認ルート境界値（1,000,000円 → 部長）",F-006,boundary,other,normal,10,10
T-006-05,"🟡 境界値テスト: 承認ルート境界値（999,998円・1,000,001円）",F-006,boundary,direct_threshold,anti,10,0
T-006-05,"🟡 境界値テスト: 承認ルート境界値（999,998円・1,000,001円）",F-006,boundary,direct_threshold,normal,10,10
T-006-06,🔴 異常系: 必須項目未入力での提出エラー,F-006,negative,other,anti,10,8
T-006-06,🔴 異常系: 必須項目未入力での提出エラー,F-006,negative,other,normal,10,10
T-007-01,🟢 正常系: 申請一覧表示（一般ユーザー）,F-007,normal,other,anti,10,3
T-007-01,🟢 正常系: 申請一覧表示（一般ユーザー）,F-007,normal,other,normal,10,4
T-007-02,🟢 正常系: 申請一覧表示（課長）,F-007,normal,other,anti,10,3
T-007-02,🟢 正常系: 申請一覧表示（課長）,F-007,normal,other,normal,10,6
T-007-03,🟢 正常系: ページネーション,F-007,normal,other,anti,10,3
T-007-03,🟢 正常系: ページネーション,F-007,normal,other,normal,10,3
T-008-01,🟢 正常系: キーワード検索,F-008,normal,other,anti,10,2
T-008-01,🟢 正常系: キーワード検索,F-008,normal,other,normal,10,4
T-008-02,🟢 正常系: ステータスで絞り込み,F-008,normal,other,anti,10,3
T-008-02,🟢 正常系: ステータスで絞り込み,F-008,normal,other,normal,10,5
T-008-03,🔴 異常系: 日付範囲不正エラー,F-008,negative,other,anti,10,8
T-008-03,🔴 異常系: 日付範囲不正エラー,F-008,negative,other,normal,10,9
T-008-04,🟢 正常系: 検索結果0件,F-008,normal,other,anti,10,7
T-008-04,🟢 正常系: 検索結果0件,F-008,normal,other,normal,10,10
T-009-01,🟢 正常系: 申請詳細表示（申請者本人）,F-009,normal,other,anti,10,3
T-009-01,🟢 正常系: 申請詳細表示（申請者本人）,F-009,normal,other,normal,10,5
T-009-02,🔴 異常系: 他ユーザーの申請詳細へのアクセス拒否,F-009,negative,other,anti,10,6
T-009-02,🔴 異常系: 他ユーザーの申請詳細へのアクセス拒否,F-009,negative,other,normal,10,9
T-010-01,🟢 正常系: 課長による承認,F-010,normal,downstream_threshold,anti,10,0
T-010-01,🟢 正常系: 課長による承認,F-010,normal,downstream_threshold,normal,10,4
T-010-02,🟢 正常系: 部長による承認,F-010,normal,other,anti,10,6
T-010-02,🟢 正常系: 部長による承認,F-010,normal,other,normal,10,10
T-010-03,🔴 異常系: 承認権限のないユーザーによる承認不可,F-010,negative,other,anti,10,7
T-010-03,🔴 異常系: 承認権限のないユーザーによる承認不可,F-010,negative,other,normal,10,10
T-011-01,🟢 正常系: 差し戻し処理,F-011,normal,downstream_threshold,anti,10,0
T-011-01,🟢 正常系: 差し戻し処理,F-011,normal,downstream_threshold,normal,10,5
T-011-02,🔴 異常系: 差し戻しコメント未入力エラー,F-011,negative,downstream_threshold,anti,10,1
T-011-02,🔴 異常系: 差し戻しコメント未入力エラー,F-011,negative,downstream_threshold,normal,10,9
T-012-01,🟢 正常系: 承認待ち申請の取り消し,F-012,normal,downstream_threshold,anti,10,0
T-012-01,🟢 正常系: 承認待ち申請の取り消し,F-012,normal,downstream_threshold,normal,10,5
T-012-02,🔴 異常系: 承認済み申請の取り消し不可,F-012,negative,downstream_threshold,anti,10,0
